abntex2 1.9.6-1
valgrind 3.14.0-1
vi 1:070224-3
vlc 3.0.8-1
vulkan-intel 19.1.5-1
vulkan-mesa-layer 19.1.5-1
wasmer-bin 0.5.5-0
wget 1.20.3-2
which 2.21-3
wine 4.14-1
winetricks 20190615-1
wl-clipboard 1.0.0-4
woeusb 3.3.0-1
xautolock 2.2-5
xf86-video-intel 1:2.99.917+870+g6f4972d5-1
xfce4-terminal 0.8.8-2
xfsprogs 4.20.0-2
xonotic 0.8.2-2
xorg-xauth 1.1-1
xorg-xbacklight 1.2.3-1
xorg-xev 1.2.3-1
xorg-xmodmap 1.0.10-1
xorg-xrandr 1.5.1-1
xsel 1.2.0.20160929-2
youtube-dl 2019.08.13-1
zip 3.0-8
zramswap 4-1
zsh 5.7.1-1
